id,title,abstract,year,scope,pillar,research_category
pub.1173257003,Sustainable processing of microalgae protein: Design of biphasic partitioning systems based on natural deep eutectic solvents for C-phycocyanin recovery from model aqueous solutions,"The development of sustainable protein sources is imperative for addressing the global challenge of food/feed security. Microalgae, which may be sustainably cultivated, are a promising source of proteins, gaining a progressive acceptance among consumers. The purpose of this work is to study the recovery of the protein C-phycocyanin from the microalga Arthrospira platensis (Spirulina), using a biphasic extraction system composed of sustainable solvents. The extraction system studied involves a feed phase, consisting of an aqueous salt solution and the target protein, and an extracting phase composed of a Natural Deep Eutectic Solvent (NADES) with affinity to the target protein. The performance of a specific NADES depends on the characteristics of the components of the NADES, in terms of its hydrophobicity/hydrophilicity balance, aiming the highest possible partitioning coefficient towards C-phycocyanin. It is also important to assure that the NADES phase selected presents a moderate viscosity and leads to a stable interface when in contact with the aqueous feed phase (i.e., presenting a measurable interfacial tension). In this work, after an extensive screening work of more than 71 combinations, the most overall performing combination is presented. This system shows a high partitioning coefficient of 29.4 ± 0.3 and an extraction yield of 99 % for C-phycocyanin (C-PC), demonstrating that the salting-out effect of the phosphate buffer and the hydrophobic character of NADES play a key role in this protein partitioning and recovery.",2025,in,F,Ingredient optimisation
pub.1175524716,A comparative study on gelation behaviours of lentil-dairy binary protein gels treated by heat and microbial transglutaminase,"There is a growing interest in exploring strategies to obtain plant-based dairy alternatives with desirable techno-functionalities. This study aimed to examine how conventional heating and microbial transglutaminase (MTGase) influence the gelation characteristics of lentil protein isolate (LPI) when combined with whey protein isolate (WPI) or casein micelles (CM). Gel electrophoresis analysis revealed that, during heat treatment, certain fractions in LPI (such as legumin acidic and basic subunits) and nearly all fractions in WPI (including β-lactoglobulin and α-lactalbumin) underwent disulfide-mediated polymerization, contributing to the heat-induced gel formation, while the gelation of CM was hindered during this process. Conversely, some fractions in LPI (specifically the 11S acidic subunit and 7S vicilins), as well as nearly all CM fractions, were involved in MTGase-induced cross-linking, while this cross-linking reaction was hindered in WPI. Heat-treated LPI-WPI mixtures resulted in self-standing gels with better gel performance than LPI, whereas heated LPI-CM mixtures exhibited liquid viscosity. Additionally, MTGase-induced LPI-CM samples showed better gel performance than LPI alone, whereas no self-standing gels formed for MTGase-induced LPI-WPI samples. The power-law model analysis showed that MTGase treated LPI-CM showed lower K′ than heat-treated LPI-WPI with a similar trend observed for n′ values. Overall, under neutral conditions, heating can enhance the gelation performance of LPI-WPI mixtures, while MTGase treatment is beneficial for promoting gelation in LPI-CM mixtures. This study provides valuable insights into effective strategies for substituting dairy proteins with plant proteins to attain the desired gelation performance.",2025,in,PB,Ingredient optimisation
pub.1175608755,"Comparative study of interaction and complex formation of Tremella fuciformis polysaccharide with whey protein, lentil protein, and soy protein isolates","The electrostatic interactions and complex formation of Tremella fuciformis polysaccharide (TPS) with whey protein (WPI), lentil protein (LPI), and soy protein (SPI) isolates were studied. The molecular size and components in each protein isolate complexed with TPS were characterized, along with the structural changes in the protein components, induced by TPS complexation. The stability of emulsions prepared with protein:TPS complexes was also evaluated (pH 4.5). Compared to WPI, the LPI and SPI protein components exhibited more negative charges and larger molecular sizes. Independent of the isolate type, pHc of all protein:TPS systems remained unchanged and pHɸ1 shifted to higher pHs as the protein/TPS ratio increased; the pHopt of WPI:TPS and SPI:TPS occurred at higher values as the protein/TPS ratio increased, while the pHopt of LPI:TPS system was less dependent on the biopolymer mixing ratio, probably due to the lower solubility of LPI. Protein components such as β-LG in WPI, convicilin, vicilin, and basic legumin in LPI, and α’ subunits of 7S β-conglycinin and acidic subunits of 11S glycinin in SPI might be the main components interacting with TPS for complex formation. Different proteins exhibited distinct trends in changing their secondary structural elements when interacting with TPS. At pH 4.5, a high proportion of TPS increased the stability of protein emulsion, regardless of the protein used. The WPI:TPS emulsions with low content of TPS were highly destabilized due to the formation of insoluble WPI:TPS complex coacervates, a phenomenon not observed in emulsions stabilized by the LPI:TPS or SPI:TPS systems.",2025,in,CC,Ingredient optimisation
pub.1181848290,Consumer sensory profiling and liking of Bolognese-type sauces: how do insect and plant foods really fare against red meat?,"Meeting global targets for healthier and more sustainable diets calls for a substantial reduction of meat consumption in Western nations, especially red and processed meat. This requires a transition to the large-scale production, marketing, and adoption of alternative proteins. The current state of development of new plant- and insect-based foods holds good promise, but optimizing their sensory quality to the point where they can satisfactorily replace everyday meat-eating experiences remains a challenge, demanding a more consumer-oriented approach. This study investigated how Portuguese adults ( N = 130, 18-40 years old, 50% female, regular meat eaters) perceived the sensory characteristics of seven Bolognese-style pasta sauces – made with 100% red meat (beef and pork), plant (soya beans or peas) or edible insect (house cricket or yellow mealworm larvae) protein – and how this affected their hedonic preferences for these products. Expectedly, the meat-based sauce was generally the most appreciated. Still, consumers liked all products slightly to moderately apart from mealworm mince. Sensory-mediated disgust affected the evaluations of some insect- and plant-based sauces, while others benefitted from formulations that enhanced savouriness and the prototypical attributes of a tomato pasta sauce. Moreover, the disconfirmation of positive sensory-affective judgements of ‘meatiness’ induced by mince-like texture cues penalized liking. High inter-individual variation in evaluations was observed. Distinct preferences for spiciness, for instance, moderated the effects of meat substitution on product liking, with over half of participants appreciating a mild or a spicy plant-based option more than the typical beef Bolognese. Sociodemographics, Beef Consumption, Healthy Eating Consciousness and Food Disgust Sensitivity were all important predictors of patterns of product liking, pointing out that the type of protein selected is just one of the many factors driving the acceptance of meat substitutes by consumers that can be leveraged by the food industry.",2025,in,PB,End product formulation
pub.1182396222,The dairy production system in the north of Sweden under possible future food scenarios,"Context The dairy production system fills an important role by providing nutrient-dense foods in Swedish diets, however, future efforts to improve its sustainability necessitate structural changes. Objective We present an innovative study which assesses the effects of these future changes in the dairy system in northern Sweden, the Norrland region, which has a subarctic climate. Methods Four scenarios were developed: 1) Food as Industry: Food is a commodity, and its production is an industry that can be invested in to benefit society. 2) Food as Technology: New technologies, such as nutrient density trackers and microbiome mapping, are used for personalized dietary plans. Additionally, novel foods from microbial cultures are produced. 3) Food as Culture: More locally produced food and diverse food products are consumed. 4) Food Forgotten: Land previously used for food and feed is converted to bioenergy production, climate mitigation, and adaptation infrastructure. These scenarios were compared to the baseline i.e. present dairy system for dairy production capacity, carbon flow and carbon footprint. Results and conclusions Food as industry resulted in increased dairy production capacity with decreased carbon footprint but increased carbon imports. Food as technology provided decreased dairy production capacity and increased carbon footprint but with decreased carbon imports. Food as culture, maintained dairy production capacity with a decreased carbon footprint and carbon imports. Food forgotten resulted in decreased dairy production capacity and increased carbon imports but with decreased carbon footprint. Food as culture benefits all - specifically dairy production capacity, carbon footprint and carbon imports. However, further research is required to explore implications on soil organic carbon stocks over time in Norrland. Significance Our study sheds light on the potential impacts of future dairy production in a subarctic climate and aims to help in decision making.",2025,in,CC,Impact assessments
pub.1183157921,Winter wheat–soybean relay intercropping in conjunction with a shift in sowing dates as a climate change adaptation and mitigation strategy for crop production in Germany,"Context Given the negative impacts of climate change on crop production, it is vital to implement efficient adaptation and mitigation strategies. The diversification of cropping systems, particularly through intercropping combined with shifts in sowing times, could have the potential to offset such negative impacts. Yet, both experimental data and simulation studies are scarce to elucidate the intercropping performance under future climate change conditions, particularly for evaluating its potential to offset climate impacts on crop and protein yields in German wheat-based systems. Objective This study aimed to simulate the grain yield and grain protein performance of winter wheat-soybean relay-row intercropping across Germany under future climate conditions, comparing it to sole cropping systems. Methods We employed the MONICA agroecosystem model and its intercropping module to simulate the performance of an innovative winter wheat–soybean relay intercropping system. This was in combination with a wide range of shifts in sowing dates, and we compared it against standard sole cropping under low and high emission scenarios across Germany. Results The model projected a 15 % higher sole wheat yield under the future (2031–2060) high emission scenario than that of the historical period (1981–2020), while sole soybean yield increased by 8 % in the same case. Although the simulation of winter wheat–soybean relay intercropping across Germany indicated a 9 % yield penalty compared to sole cropping in the future, with a transgressive overyielding index of 0.91, intercropping emerged as particularly advantageous in terms of land-use efficiency and protein production. It saved 17 % of land compared to sole cropping, thus produced equal amounts of grain yield, and produced 16 % more protein than sole cropping in the high emission scenario. On top of that, shifting the sowing dates of the component crops to earlier times was found to substantially enhance the advantages of intercropping, resulting in a maximum of 44 % higher total yield production, and 47 % higher protein production than sole wheat without shifting sowing date in the future projection window. Conclusion Our findings highlight the grain yield and protein production potential of intercropping versus sole cropping under futuristic high emission scenarios (RCP 8.5), and underscoring its potential to create a win-win situation of increased crop diversity and productivity. The results affirm the crucial importance of selecting optimal sowing dates for the component crops in intercropping, to maximize production and ensure resilience in the face of a changing climate.",2025,in,PB,Crop development 
pub.1197164068,Food and ethics: How German far-right defend their dietary ideology in times of climate change,"This article examines how the German far right – specifically the Alternative für Deutschland (AfD) and die Heimat – instrumentalizes food politics to advance ideological narratives amid contemporary debates on climate change. While these parties present themselves as defenders of “ordinary people” against environmental “hysteria,” their rhetoric surrounding food, purity, and health reveals deep continuities with historical fascist thought. Through a qualitative analysis of Facebook posts, party documents, and far-right media, the study shows how concerns about pesticides, synthetic meat, insect-based foods, and halal/kosher practices are reframed as threats to the purity of the German nation and its soil. This food discourse is intertwined with broader themes of anti-elitism, climate denialism, ethnopluralism, and masculinist identity politics. Drawing on the historical precedent of Nazi dietary propaganda – which linked plant-based eating, bodily purity, and racial superiority – the article highlights how contemporary actors selectively adopt ecological language to legitimize xenophobic and exclusionary agendas. While die Heimat occasionally draws on a vegan tradition rooted in Aryan purity myths, the AfD emphasizes meat as a cultural asset tied to national identity and male strength, even as both parties claim to champion animal welfare. The study shows that far-right food politics function simultaneously as lifestyle guidance, coded extremist messaging, and a strategic tool for mainstream appeal. Ultimately, it argues that dietary discourse provides the far right with a subtle yet powerful means to normalize eco-fascist ideology under the guise of health, tradition, and environmental concern.",2025,in,CM,Other
pub.1196678028,Combining plant and dairy proteins to enhance the oxidative stability of microencapsulated lipids in spray-dried powders,"This study investigates the oxidative stability of spray-dried emulsion powders using single plant (pea or soy), dairy (milk), or hybrid (plant-dairy) protein systems for encapsulation. Emulsions were produced and spray-dried and powders stored for 91 days under controlled conditions. Lipid oxidation was monitored through peroxide value, free radical concentration (Miniature Electron Spin Resonance Spectroscopy), and GC-MS analysis. Hybrid protein systems showed superior protection of encapsulated lipids, with 15-times lower accumulation of hydroperoxides and 2-3 times lower free radical concentrations compared to single-protein formulations. Furthermore, the formation of total volatiles of hybrid samples plateaued after 28 days, while it continuously increased for all single protein formulations, demonstrating that also secondary lipid oxidation was reduced in hybrid samples. The findings suggest that the combination of plant and dairy proteins synergistically improved the oxidative stability of encapsulated lipids, laying a promising groundwork for the development of clean-label, shelf-stable food powers.",2025,in,PB,Ingredient optimisation
pub.1196657616,What is the role of plant-based alternatives to animal foods in the Great Food Transformation? A narrative review.,"Several plant-based alternatives to animal foods (PBAFs) have been introduced in the market in the past decade to provide consumers with an easy substitution for animal protein. Despite the extensive literature on the nutritional composition of these plant-based products, these products must be assessed considering their impacts on diets, the environment and society. This critical review aims to evaluate the role of plant-based alternatives to animal foods in the Great Food Transformation and their potential health effects. Results of nine diet modelling studies have indicated that substituting animal foods with plant-based alternatives would put certain populations at risk of inadequate intake of micronutrients, particularly of bioavailable iron, vitamin B12, calcium and iodine. Nutritional composition studies have shown that meat alternatives are generally similar to meat in protein and micronutrient content but with higher carbohydrates and sodium. Milk and yoghurt alternatives made from cereals, coconut, and nuts have significantly lower protein levels compared to their animal counterparts, while soy-based alternatives are the most comparable to animal dairy products. This review shows that there are nutritional pitfalls from the substitution of animal foods with PBAFs. There is a window of opportunity to use these industrially produced foods to improve nutrition. This review concluded that PBAFs could be used to ease the Great Food Transformation by providing foods that resemble function and appearance to consumers, by offering familiar tastes and dishes. Moreover, PBAFs should be considered in future nutritional policies.",2025,in,PB,Impact assessments
pub.1196619630,"Production of Kefir and Kefir-like Beverages: Fundamental Aspects, Advances, and Future Challenges","Nowadays, consumer demand for functional foods with health benefits has grown significantly. In response to this trend, a variety of potentially probiotic foods have been developed—most notably kefir and kefir-like beverages, which are highly appreciated for their tangy flavor and health-promoting properties. Traditionally, kefir is made by fermenting cow’s milk with milk kefir grains, although milk from other animals—such as goats, ewes, buffalo, camels, and mares—is also used. Additionally, non-dairy versions are made by fermenting plant-based milks (such as coconut, almond, soy, rice, and oat) with the same type of grains, or by fermenting fruit and vegetable juices (e.g., apple, carrot, fennel, grape, tomato, prickly pear, onion, kiwifruit, strawberry, quince, pomegranate) with water kefir grains. Despite their popularity, many aspects of kefir production remain poorly understood. These include alternative production methods beyond traditional batch fermentation, kinetic studies of the process, and the influence of key cultivation variables—such as temperature, initial pH, and the type and concentration of nutrients—on biomass production and fermentation metabolites. A deeper understanding of the fermentation process can enable the production of kefir beverages tailored to meet diverse consumer preferences.",2025,in,PB,End product formulation
pub.1196599903,Special issue related to the 3rd NIZO Plant Protein Conference,,2025,in,PB,Other
