,id,title,abstract,pillar,research_category,truncated,LR,SVC,MLP
437,US-20260068906-A1,Texturised food product comprising destarched oats and method for producing it,"According to an example aspect of the present invention there is provided a method for producing food products, which comprise destarched oats, together with at least one other plant protein product, at least one starch component, or both. The method of the invention comprises cooking a mixture comprising destarched oats using hydrothermal cooking or extrusion cooking. The invention also relates to the use of destarched oats in the manufacture of food products and to food products comprising destarched oats.",PB,End product formulation,False,True,False,False
1218,US-20250099925-A1,CAPSULES WITH SOLIDIFIED MATRIX,Disclosed herein is a method for generating capsules with a solid matrix (7) as well as a capsule assembly comprising a plurality of capsules obtained by such a method. The method relies on temperature dependent step-emulsification of a droplet phase including a liquid hydrophobic matrix and a continuous aqueous phase.,PB,Ingredient optimisation,False,True,True,False
1411,EP-4742918-A1,RAPESEED PROTEIN HYDROLYSATE,"The present invention relates to a rapeseed protein hydrolysate comprising protein fragments, wherein at least 50% (w/w) of the protein fragments has a molecular weight of less than 3.5 kDa.",PB,Ingredient optimisation,False,True,False,False
2260,WO-2025127935-A1,RETENTION TIME AND MILD COAGULATION FOR OBTAINING A COAGULATED TUBER PROTEIN PRODUCT,"The invention is directed to a method for obtaining a coagulated tuber protein product from a tuber fruit juice. The method comprises subjecting the tuber fruit juice to a first coagulation step to form a coagulated low-grade fraction, separating at least part of the coagulated low-grade fraction from the tuber fruit juice to obtain a lean tuber fruit juice, subjecting the lean tuber fruit juice to a second coagulation step and collecting at least part of the coagulated tuber protein product. The invention is further directed to a coagulated tuber protein product and to a food product comprising the coagulated tuber protein product.",PB,Ingredient optimisation,False,True,False,False
2172,WO-2025262593-A1,SYSTEM AND METHOD FOR THE PRODUCTION OF FRESH ALMOND MILK,"The invention concerns a device 20 for the production of fresh almond milk. The device comprises actuation means 24 and an extraction group 22 with a first constraint element 26 and a second constraint element 28. In the standby configuration, the two constraint elements are placed at a distance d the one from the other. The actuation means are configured for imposing between the two constraint elements at least a first relative translation movement and a second relative rotation movement. The invention then concerns an extraction bag 34 comprising a textile envelope 42 defining two constraint portions 48 arranged at a distance d the one form the other, and a central pocket 46 containing a preparation 44 based on unpeeled and ground almond seeds. The invention further concerns a kit 52, comprising the device and the extraction bag, as well as a method for the production of fresh almond milk by means of the kit.",PB,End product formulation,False,True,False,False
2200,WO-2025201667-A1,METHOD AND SYSTEM FOR RECYCLING AND LIBERATING MATERIAL,"A versatile waste processing system that converts various waste materials into valuable products, such as syngas, oils, char, proteins, and glass fibres. The system includes advanced components for material separation, thermal treatment, and by-product recovery. It features reactors, gas cleaning units, separation systems, and handling lines for solids, along with cracking units for refining heavier hydrocarbons and reforming technologies to enhance hydrogen production. Additionally, it supports processes like protein extraction and glass fibre recovery, offering flexible configurations to handle a wide range of waste types while maximizing energy and material recovery in various industrial applications.",PB,Ingredient optimisation,False,True,True,True
2195,CN-122028804-A,Flavanone compounds and their use as flavor modifiers,"The present disclosure relates generally to certain flavanone compounds and the use of such compounds for modifying the flavor or taste of ingestible compositions. These flavanone compounds include 8-methyl naringenin (5, 7,4' -trihydroxy-8-methyl flavanone), 5,3' -dihydroxy-7, 4' -dimethoxy flavanone, 5-hydroxy-7, 3',4' -trimethoxyflavanone, 5,4' -dihydroxy-7, 3' -dimethoxy flavanone, or any combination thereof. In some embodiments, the use of these flavanone compounds includes use to enhance sweetness, use to reduce off-flavors of high intensity sweeteners, use to enhance salty taste, use to enhance umami or heavy taste, or any combination thereof. In certain embodiments, these compounds are used in combination with other natural taste modifiers (e.g., flavonoids or dihydrochalcones). In certain forms, the present disclosure provides ingestible compositions comprising such flavanone compounds. In some related aspects, the ingestible composition is or is included in a variety of flavored products, such as food products, beverage products, pharmaceutical products, oral care products, or animal feed products.",PB,Ingredient optimisation,False,True,False,False
1361,GB-2636683-A,Biopolymer particle applications,"The present disclosure provides methods for preparing biopolymer particles. Preferably the biopolymer is a polysaccharide, most preferably cellulose. One aspect provides a method comprising extruding a dispersed phase into an anti-solvent to form particles of the biopolymer, wherein the dispersed phase comprises the biopolymer in a solvent. Another aspect provides a method comprising: a membrane emulsification of a dispersed phase into a continuous phase wherein the dispersed phase comprises the biopolymer in a solvent, and wherein passing the dispersed phase through the membrane forms an emulsion of the biopolymer in the continuous phase; and a phase inversion with an anti-solvent to form particles of the biopolymer. In preferred embodiments, both the solvent and anti-solvent comprise water.",CM,Scaffolding,False,True,False,False
1076,EP-4622485-A1,FOODSTUFF EXTRUSION APPARATUS,"There is provided a food extrusion apparatus (1) for producing a continuous extruded layer of foodstuff, the apparatus (1) comprising a die (2), the die (2) comprising a main body (3), a core (4) comprising a first portion located within the main body (3), the core (4) comprising an elongate axis and a second coaxial portion extending outside of the main body (3) and further comprising a distal end to which a support (5) is attached, a flow path (7), wherein the flow path (7) comprises an annular radial space extending between the core (4) and the main body (3) and terminating at a distal end of the first portion of the core (4), said support (5)being moveable with respect to the main body (3), and a positioning means (6), wherein the positioning means (6) is configured to move the support (5) with respect to the main body (3) in a direction substantially perpendicular to the elongate axis of the core (4).",PB,End product formulation,False,True,False,False
2314,WO-2025176620-A1,"METHOD FOR PRODUCING A MODIFIED DEPECTINISED POMACE, USE THEREOF FOR PRODUCING AN OIL-IN-WATER EMULSION AND A FERMENTED PRODUCT","The invention relates to a method for producing a modified depectinised pomace, to a modified pomace produced by said method, and to the use thereof for producing an oil-in-water emulsion and a fermented product. The invention also relates to a method for producing an oil-in-water emulsion and a fermented product. The invention further relates to an oil-in-water emulsion and a fermented product containing the fermented pomace.",PB,End product formulation,False,True,False,False
1055,EP-4615251-A1,REDUCTION OF VICINE AND/OR CONVICINE IN FABA INGREDIENTS AND FOOD PRODUCTS,"The invention relates to a method of reducing vicine and/or convicine content in a faba ingredient. A liquid faba ingredient is provided and then at least one vicine and/or convicine-degrading enzyme is added to the liquid faba ingredient having a pH of 6.0 or higher. The faba ingredient is then incubated with the at least one vicine and/or convicine-degrading enzyme. The invention also relates to faba ingredient, to food products prepared with faba ingredient and method for producing such food products.",PB,Ingredient optimisation,False,True,False,False
1116,US-20250143506-A1,Steam distributor for a coffee machine,"A steam distributor for a coffee machine and a coffee machine are described. The steam distributor includes a rod-like distributor body and an outlet area for discharging steam and/or air from an interior of the distributor body into a surrounding of the distributor body. The outlet area is arranged on an outer surface of the distributor body and is configured to discharge the steam and/or the air in such a way that the steam and/or the air forms a flow which has a tangential flow direction with respect to the distributor body and flows tangentially out of the distributor body. This structure of the distributor body allows milk or a milk substitute liquid to be foamed advantageously, because a circular flow is produced in the milk or the milk substitute liquid.",PB,End product formulation,False,True,False,False
1167,US-20250040583-A1,ENCAPSULATED METAL COMPOUNDS AND COMESTIBLE USES THEREOF,"The present disclosure relates generally to the use of metal compounds, such as metal salts or metal complexes, and their use in food products and pet food products. In some embodiments, the metal compounds are encapsulated in an encapsulant designed to release the metal compounds upon heating, such as cooking. In certain aspects, the disclosure provides meat analogue products that include such encapsulated metal compounds.",PB,Ingredient optimisation,False,True,True,True
1488,WO-2025045826-A1,COMPOUNDS FOR ACTIVATION OF FGFR1 SIGNALING,"The present invention relates to compound of formula (I) and their use for cultivating cells in vitro, wherein the compound has the general formula (I). Furthermore, the invention to the compound of formula (I) for use in medical treatment, wherein the medical treatment is a method of wound healing, a method of organ regeneration in transplantation medicine, a method of treating a burned lesion, a disease associated with disturbed cell renewal, or a disease associated with muscle wasting, wherein the treatment or prevention may optionally comprise tissue engineering. The compounds of formula (I) may be used as cell culture medium supplement. Thus, the invention also relates to a cell culture medium comprising at least one compound of formula (I) a method for the cultivation of cells and a food product comprising cultivated cells.",CM,Cell culture media,False,True,True,True
2160,EP-4669132-A1,INGREDIENT COMPOSITION,"Disclosed herein is an ingredient composition in dry form encapsulated with a fat coating comprising from 20% to 85% by weight of saturated fatty acid residues; from 10% to 50% by weight of stearic acid residues (C18:0); and from 2% to 35% by weight of lauric acid residues (C12:0); wherein said percentages of fatty acid residues refers to fatty acids bound as acyl 5 groups in glycerides in the fat coating and being based on the total weight of C4 to C24 fatty acid residues bound as acyl groups present in the fat composition; wherein the fat coating has a specific solid fat content (SFC); and wherein the weight ratio of the fat coating with respect to the ingredient composition is of from 5,0:1,0 to 15,0:1,0.",PB,Ingredient optimisation,False,True,False,False
474,US-20220151255-A1,PREVENTION OF AGGREGATION IN NUT MILK,"Aggregation in a nut milk is prevented by increasing dispersibility of the nut milk by treating the nut milk with a protein deamidase. When the protein deamidase-treated nut milk is added to a liquid beverage or a liquid food, aggregation in the protein deamidase-treated nut milk is prevented due to the increased dispersibility of the protein deamidase-treated nut milk.",PB,End product formulation,False,True,False,False
1991,WO-2025228693-A1,NOZZLE FOR A FILL PIPE USED IN PACKAGING MACHINES IN WHICH CONTAINERS ARE FILLED WITH LIQUID FOOD PRODUCT AND A FILL SYSTEM COMPRISING SUCH NOZZLE,"The present invention relates to a nozzle for a fill pipe used in fill system of a packaging machines in which containers are filled with liquid food product. The nozzle comprising: a flexible mouthpiece comprising a flexible collar for connecting the flexible mouthpiece to an outlet end of the fill pipe and a plurality of flaps made from a flexible material and extending from the flexible collar, the plurality of flaps being biased to a closed state, the flexible mouthpiece sealing the outlet end of the fill pipe when in the closed state, the plurality of flaps being disposed to be moved from the closed state to an open state by liquid food product flowing through the flexible mouthpiece; and a mesh filter configured to filter liquid food product flowing through the flexible mouthpiece. The mesh filter comprising a bulge protruding into an interior space of the flexible mouthpiece, wherein the bulge comprises a plurality of through holes constituting the mesh filter. Also a fill system comprising the nozzle is presented.",PB,End product formulation,False,True,True,True
2100,SE-547148-C2,Method of Preparing a Food Component from Pulses,"A method of preparing a food component from pulses is disclosed, comprising the general steps of providing a substrate from whole pulses with less than 35% protein content based on pulse dry matter and providing an aqueous slurry; enzymatically treating the slurry by adding at least one amylase, at least one protease and at least one tannase; and optionally removing insoluble fractions and finally collecting the food component. Also disclosed are nondairy ready-to-use product comprising such food components and milk replacement products.",PB,Ingredient optimisation,False,True,False,False
2311,WO-2025176617-A1,"METHOD FOR PRODUCING A PECTIN-CONTAINING EMULSIFIER, AND USE THEREOF FOR PRODUCING AN OIL-IN-WATER EMULSION AND A FERMENTED PRODUCT","The invention relates to a method for producing a pectin-containing emulsifier, to the use thereof for producing an oil-in-water emulsion and a fermented product, to a method for producing an oil-in-water emulsion and a fermented product, and to an oil-in-water emulsion and a fermented product containing the pectin-containing emulsifier.",PB,Ingredient optimisation,False,True,False,False
1989,WO-2025228746-A1,INSTANT SINTERED THREE-DIMENSIONAL SHAPES,"The present invention relates to instant beverage or food shapes. In particular, the present invention relates to sintered three-dimensional shapes comprising flavoured ingredient and amorphous carbohydrates for making a cold or hot beverage. It also relates to a method for producing the shapes thereof.",PB,End product formulation,False,True,True,False
1514,EP-4754234-A1,A NOVEL STRAIN OF METSCHNIKOWIA PULCHERRIMA AND USES OF THE NOVEL STRAIN,"The present invention provides novel strain of M. pulcherima, having accession number NCYC 4455. The strain can be cultured to produce a compound such as a lipid or an alcohol. The strain can also be used to produce a yeast biomass and for other uses.",F,Strain development,False,True,True,False
