,family_id,id,title,abstract,application_number,cpc,filing_date,filing_status,jurisdiction,original_assignees,priority_year,publication_date,publication_year,scope,pillar,research_category,endproduct,ingredient,subpillar
10,46516628.0,EP-2874507-A1,AQUEOUS TRANSPARENT OIL-IN-WATER EMULSION COMPRISING AN EMULSIFIED CAROTENOID,"The invention relates to an aqueous transparent oil-in-water emulsion comprising an emulsified carotenoid in a concentration of 0.025-2000 ppm. Some claims relate to a process including the step of a) manufacturing a solution comprising modified starch and/or at least one surface active protein and water, b) manufacturing a solution by mixing at least one carotenoid in triacylglycerol oil and melting the dispersed carotenoid at a temperature of 100 - 200[deg.]C c) introducing the solution of step b) into solution of step a), d) performing at least one step of pre-emulsification by passing the mixture of step c) through a rotator/stator mixer, e) performing at least one step of high pressure homogenization, f) spray drying the emulsion of step e) to obtain a powder. The emulsion or the powder is useful as a food colorant or as replacement for azo dyes.",EP13737612A,"['A61K9/107', 'A61K47/22', 'A61K31/07', 'A23L29/10', 'A61K31/11', 'A23L5/44', 'A61K31/035', 'A61K47/14', 'A61K47/36', 'A23K20/179', 'A61K31/232', 'A23L33/105', 'A61K47/26', 'A23V2002/00']",2013-07-18,Application,EP,"[{'city_name': 'Ludwigshafen am Rhein', 'country_code': 'DE', 'country_name': 'Germany', 'id': 'grid.3319.8', 'linkout': ['https://www.basf.com/en.html'], 'name': 'BASF SE', 'types': ['Company']}]",2012.0,2015-05-27,2015,out,,,,,
11,46516628.0,EP-2687103-A1,Aqueous transparent oil-in-water emulsion comprising an emulsified carotenoid,The invention relates to an aqueous transparent oil-in-water emulsion comprising a carotenoid and a process for producing said emulsion.,EP12177364A,"['A61K47/14', 'A61K47/26', 'A23L29/10', 'A23K20/179', 'A61K31/035', 'A23L5/44', 'A61K9/107', 'A61K47/22', 'A61K31/232', 'A61K31/07', 'A23V2002/00', 'A61K47/36', 'A23L33/105', 'A61K31/11']",2012-07-20,Application,EP,"[{'city_name': 'Ludwigshafen am Rhein', 'country_code': 'DE', 'country_name': 'Germany', 'id': 'grid.3319.8', 'linkout': ['https://www.basf.com/en.html'], 'name': 'BASF SE', 'types': ['Company']}]",2012.0,2014-01-22,2014,out,,,,,
12,47601708.0,US-12426613-B2,Methods and devices for heating or cooling viscous materials,"Methods and devices heat or cool viscous materials, such as meat emulsions useful for producing food and other products. The devices have a heat exchanger including a first plate, a second plate attached to the first plate, and a first spacer and a second spacer arranged between the first plate and the second plate. The first plate, the second plate, the first spacer, and the second spacer define at least one temperature controlled passage for a product to pass through the heat exchanger.",US18906993,"['F28F2240/00', 'A23L13/67', 'A23V2002/00', 'A23L13/60', 'F28D9/0093', 'A22C11/00', 'A23L13/52', 'F28D2021/0098', 'A23L5/10', 'A23B4/005', 'F28F2275/205', 'A22C7/00', 'F28D1/0366', 'A23L17/70', 'F28D2021/0042', 'F28F3/083', 'A23B4/06', 'F28D9/0062', 'F28F9/026', 'A23K50/40', 'A23L5/13', 'F28D9/0031', 'F28D9/0081']",2024-10-04,Grant,US,"[{'city_name': 'Vevey', 'country_code': 'CH', 'country_name': 'Switzerland', 'id': 'grid.796691.6', 'name': 'Societe des Produits Nestle SA', 'types': ['Company']}]",2011.0,2025-09-30,2025,out,,,,,
13,47601708.0,US-20250024867-A1,METHODS AND DEVICES FOR HEATING OR COOLING VISCOUS MATERIALS,"Methods and devices heat or cool viscous materials, such as meat emulsions useful for producing food and other products. The devices have a heat exchanger including a first plate, a second plate attached to the first plate, and a first spacer and a second spacer arranged between the first plate and the second plate. The first plate, the second plate, the first spacer, and the second spacer define at least one temperature controlled passage for a product to pass through the heat exchanger.",US18906993,"['F28D9/0031', 'F28F3/083', 'F28F9/026', 'A23B4/005', 'F28D9/0081', 'F28D9/0062', 'A23L13/52', 'F28D2021/0098', 'A23L13/60', 'F28F2275/205', 'F28F2240/00', 'A23B4/06', 'A23L5/13', 'A22C11/00', 'F28D9/0093', 'A23K50/40', 'F28D1/0366', 'A23L5/10', 'A22C7/00', 'F28D2021/0042', 'A23V2002/00', 'A23L13/67', 'A23L17/70']",2024-10-04,Application,US,"[{'city_name': 'Vevey', 'country_code': 'CH', 'country_name': 'Switzerland', 'id': 'grid.796691.6', 'name': 'Societe des Produits Nestle SA', 'types': ['Company']}]",2011.0,2025-01-23,2025,out,,,,,
14,48483243.0,EP-2852300-A1,CANNED FOOD PRODUCTS HAVING ONE OR MORE FILLINGS,"The invention provides food products and methods for making the food products. The products comprise a container comprising a meat emulsion encasing one or more hydrocolloid dispersions wherein the one or more hydrocolloid dispersions and the meat emulsion have a different appearance and texture. Preferably, the one or more hydrocolloid dispersions are xanthan, carboxy methyl cellulose, konjac, guar, agar agar, gum arabic, locus bear gum, cassia, acacia, alginate, carobe, or a combination thereof.",EP13724707A,"['A23K10/00', 'A23K50/40', 'A23L5/00', 'A23K10/20', 'A23K40/00', 'A23L13/60', 'A23P20/20', 'B65D77/0426']",2013-05-17,Application,EP,"[{'city_name': 'Vevey', 'country_code': 'CH', 'country_name': 'Switzerland', 'id': 'grid.796690.7', 'name': 'Nestec SA', 'types': ['Company']}]",2012.0,2015-04-01,2015,out,,,,,
15,48483243.0,ES-3009492-T3,CANNED FOOD PRODUCTS HAVING ONE OR MORE FILLINGS,"The invention relates to food products and methods for their preparation. The products comprise a container with a meat emulsion enclosing one or more hydrocolloid dispersions, where the hydrocolloid dispersion(s) and the meat emulsion have different appearances and textures. Preferably, the hydrocolloid dispersions are xanthan gum, carboxymethylcellulose, konjac, guar gum, agar-agar, gum arabic, locust bean gum, cassia, acacia, alginate, carob gum, or a combination thereof. (Automatic translation with Google Translate, no legal value)",ES13724707,"['A23K40/00', 'B65D77/0426', 'A23P20/20', 'A23K10/20', 'A23K10/00', 'A23L5/00', 'A23L13/60', 'A23K50/40']",2013-05-17,Grant,ES,"[{'city_name': 'Vevey', 'country_code': 'CH', 'country_name': 'Switzerland', 'id': 'grid.796691.6', 'name': 'Societe des Produits Nestle SA', 'types': ['Company']}, {'city_name': 'Vevey', 'country_code': 'CH', 'country_name': 'Switzerland', 'id': 'grid.419905.0', 'linkout': ['http://www.nestle.ch/'], 'name': 'Nestle SA', 'types': ['Company']}]",2012.0,2025-03-27,2025,out,,,,,
16,49759130.0,US-11980215-B2,Synthetic milk compositions for infants less than three months old and for infants and children more than three months for ensuring optimal growth and preventing obesity,"Synthetic nutritional formulations, particularly milk based compositions, for infants and children are especially adapted to the age of the child. They are adapted to fulfill the nutritional needs of the child, ensuring balanced growth and development and thereby reducing the risk of obesity.",US17749828,"['A23V2002/00', 'A23L33/40', 'A61P3/04', 'A23L33/30', 'A23L33/12', 'A23L33/115', 'A23L33/17', 'A23V2250/1846', 'A23V2250/185', 'A23V2200/332', 'A23V2250/1848']",2022-05-20,Grant,US,"[{'city_name': 'Vevey', 'country_code': 'CH', 'country_name': 'Switzerland', 'id': 'grid.796691.6', 'name': 'Societe des Produits Nestle SA', 'types': ['Company']}]",2013.0,2024-05-14,2024,out,,,,,
17,49759130.0,US-20220304359-A1,SYNTHETIC MILK COMPOSITIONS FOR INFANTS LESS THAN THREE MONTHS OLD AND FOR INFANTS AND CHILDREN MORE THAN THREE MONTHS FOR ENSURING OPTIMAL GROWTH AND PREVENTING OBESITY,"Synthetic nutritional formulations, particularly milk based compositions, for infants and children are especially adapted to the age of the child. They are adapted to fulfill the nutritional needs of the child, ensuring balanced growth and development and thereby reducing the risk of obesity.",US17749828,"['A23L33/115', 'A61P3/04', 'A23V2002/00', 'A23L33/17', 'A23L33/12', 'A23L33/30', 'A23L33/40']",2022-05-20,Application,US,"[{'city_name': 'Vevey', 'country_code': 'CH', 'country_name': 'Switzerland', 'id': 'grid.796691.6', 'name': 'Societe des Produits Nestle SA', 'types': ['Company']}]",2013.0,2022-09-29,2022,out,,,,,
18,49883006.0,EP-4674280-A3,"PALATABILITY ENHANCERS FOR PET FOOD, METHOD OF PREPARATION AND USES THEREOF","The present invention concerns palatability-enhancing compositions comprising at least one compound selected from the group consisting of: ascorbic acid; isomers thereof; derivatives thereof; salts thereof; and combinations thereof, for use in pet food, preferably in dog food, as well as methods of preparation and uses thereof.",EP25202601.8,"['A23K50/40', 'A23K20/174', 'A23K40/30']",2014-01-27,Application,EP,"[{'country_code': 'FR', 'country_name': 'France', 'id': 'grid.604002.0', 'name': 'Specialites Pet Food SAS', 'types': ['Other']}]",2013.0,2026-04-01,2026,out,,,,,
19,49883006.0,EP-4101310-A1,"PALATABILITY ENHANCERS FOR PET FOOD, METHOD OF PREPARATION AND USES THEREOF","The present invention concerns a dog food palatability-enhancing composition comprising
- at least one compound selected from the group consisting of: ascorbic acid; isomers thereof; derivatives thereof; salts thereof; and combinations thereof;
- and at least one liquid component.",EP22182018.6,"['A23K40/30', 'A23K50/40', 'A23K20/174']",2014-01-27,Application,EP,"[{'country_code': 'FR', 'country_name': 'France', 'id': 'grid.604002.0', 'name': 'Specialites Pet Food SAS', 'types': ['Other']}]",2013.0,2022-12-14,2022,out,,,,,
20,51355482.0,US-11141371-B2,Extracts of Nannochloropsis sp. and their applications,"New extracts of Nannochloropsis sp. and related species of Nannochloropsis are suggested, obtainable by treating said microalgae with a solvent selected from the group consisting of C1-C1 aliphatic alcohols, ethyl acetate, water or their mixtures, removing the dissolved extracts from the residues and recovering the pure extracts from the solvent. The extracts show excellent properties particularly in modulating the metabolism of human skin and hair follicles.",US15504055,"['A61P17/08', 'A61K8/9767', 'A61Q7/00', 'A61Q19/008', 'A61K8/9789', 'A61Q5/10', 'A61K8/9706', 'A61Q19/00', 'A61K8/9771', 'A61K36/05', 'A61K2236/331', 'A61P17/14', 'A61Q5/006', 'A61K2236/33', 'A61P17/10', 'A61Q5/008', 'A61P17/00', 'A61K8/9722', 'A61Q19/02', 'A61K2236/37', 'A61K8/9794']",2015-08-08,Grant,US,"[{'city_name': 'Holzminden', 'country_code': 'DE', 'country_name': 'Germany', 'id': 'grid.480394.2', 'linkout': ['https://www.symrise.com/'], 'name': 'Symrise AG', 'types': ['Company']}]",2014.0,2021-10-12,2021,out,,,,,
21,51355482.0,US-20170246229-A1,EXTRACTS OF NANNOCHLOROPSIS SP. AND THEIR APPLICATIONS,"New extracts of Nannochloropsis sp. and related species of Nannochloropsis are suggested, obtainable by treating said microalgae with a solvent selected from the group consisting of C1-C1 aliphatic alcohols, ethyl acetate, water or their mixtures, removing the dissolved extracts from the residues and recovering the pure extracts from the solvent. The extracts show excellent properties particularly in modulating the metabolism of human skin and hair follicles.",US15504055,"['A61K8/9789', 'A61K2236/37', 'A61K8/9767', 'A61K8/9722', 'A61Q5/008', 'A61Q19/00', 'A61K2236/331', 'A61Q19/008', 'A61K2236/33', 'A61P17/14', 'A61P17/10', 'A61K8/975', 'A61K36/05', 'A61Q7/00', 'A61Q19/02', 'A61K8/9794', 'A61K8/9771', 'A61Q5/10', 'A61K8/9706', 'A61P17/00', 'A61Q5/006', 'A61P17/08']",2015-08-08,Application,US,"[{'country_code': 'IT', 'country_name': 'Italy', 'id': 'grid.546143.1', 'name': 'Cutech SRL', 'types': ['Other']}]",2014.0,2017-08-31,2017,out,,,,,
22,51655583.0,US-20180228195-A1,NUTRITIONAL COMPOSITION FOR USE IN PROMOTING GUT AND/OR LIVER MATURATION AND/OR REPAIR,"The present invention relates to synthetic nutritional compositions for use to promote the maturation and/or repair of the liver and/or gut, and/or to treat and/or prevent and/or reduce the risk of liver and/or gut and/or metabolic disease. The compositions according to the invention have low MCT medium chain fatty acid (MCFA) content and low palmitic acid content.",US15515474,"['A23L33/12', 'A23V2002/00', 'A23L33/30', 'A23L33/40', 'A23L33/115']",2015-09-29,Application,US,"[{'city_name': 'Vevey', 'country_code': 'CH', 'country_name': 'Switzerland', 'id': 'grid.796690.7', 'name': 'Nestec SA', 'types': ['Company']}]",2014.0,2018-08-16,2018,out,,,,,
23,51655583.0,ES-2885851-T3,Nutritional composition for use in stimulating liver maturation,"Synthetic nutritional composition that can be evacuated more quickly from the stomach after consumption in an individual, comprising, with respect to total fats: - intermediate chain fatty acids, at least 98% in the form of triglycerides, in an amount included in the range of 0% to 15% by weight, - at least one unsaturated fatty acid comprising oleic acid in an amount of at least 35% by weight, with respect to total fats, - palmitic acid, at least 98% in the form of triglycerides, in an amount within the range of no more than 13%, for use in stimulating liver maturation and/or for reducing the risk of liver disease.",ES15770922,"['A23V2002/00', 'A23L33/30', 'A23L33/115', 'A23L33/12', 'A23L33/40']",2015-09-29,Grant,ES,"[{'city_name': 'Vevey', 'country_code': 'CH', 'country_name': 'Switzerland', 'id': 'grid.796691.6', 'name': 'Societe des Produits Nestle SA', 'types': ['Company']}, {'city_name': 'Vevey', 'country_code': 'CH', 'country_name': 'Switzerland', 'id': 'grid.419905.0', 'linkout': ['http://www.nestle.ch/'], 'name': 'Nestle SA', 'types': ['Company']}]",2014.0,2021-12-15,2021,out,,,,,
24,51743286.0,US-12256755-B2,Process for preparing a fat slurry and for preparing a spread with said slurry,"Process for preparing an edible fat slurry comprising 60-98% by weight (on the total slurry of oil and fat powder) of an edible oil phase and 2-40% by weight (on the total slurry of oil and fat powder) of fat powder, wherein the fat powder is sprayed directly a mixing vessel to be combined with oil.",US15517418,"['A23D9/00', 'A23D7/0056', 'A23D7/001', 'A23D7/04', 'A23L27/60', 'A23L33/115', 'A23D9/04', 'A23V2002/00', 'A23L9/24', 'A21D2/16', 'C11B15/00', 'A23D9/05', 'A23D9/007']",2015-10-09,Grant,US,"[{'country_code': 'NL', 'country_name': 'Netherlands', 'id': 'grid.612532.1', 'name': 'Flora Food Global Principal BV', 'types': ['Company']}]",2014.0,2025-03-25,2025,out,,,,,
25,51743286.0,EP-3453261-A1,PROCESS FOR PREPARING A FAT SLURRY AND FOR PREPARING A SPREAD WITH SAID SLURRY,"Process for preparing an edible fat slurry comprising 60-98% by weight (on the total slurry of oil and fat powder) of an edible oil phase and 2-40% by weight (on the total slurry of oil and fat powder) of fat powder, wherein the fat powder is sprayed directly in a mixing vessel to be combined with oil.",EP18193280.7,"['A23L27/60', 'A23D7/001', 'A23V2002/00', 'A23D9/05', 'A23D9/00', 'A23L9/24', 'A23D7/0056', 'A23L33/115', 'A23D9/007', 'A21D2/16', 'C11B15/00', 'A23D9/04', 'A23D7/04']",2015-10-09,Application,EP,"[{'city_name': 'London', 'country_code': 'GB', 'country_name': 'United Kingdom', 'id': 'grid.418707.d', 'linkout': ['http://www.unilever.com/'], 'name': 'Unilever PLC', 'types': ['Company']}, {'country_code': 'GB', 'country_name': 'United Kingdom', 'id': 'grid.677724.7', 'name': 'Upfield Spreads UK Ltd', 'types': ['Company']}, {'country_code': 'NL', 'country_name': 'Netherlands', 'id': 'grid.612532.1', 'name': 'Flora Food Global Principal BV', 'types': ['Company']}]",2014.0,2019-03-13,2019,out,,,,,
26,52101355.0,US-10912316-B2,Cavitated fermented dairy product,Cavitated fermented dairy products and methods of forming these cavitated fermented dairy products are disclosed.,US15521173,"['A23V2002/00', 'A23V2400/249', 'A23V2400/51', 'A23V2400/175', 'A23B2/103', 'A23V2400/321', 'A23V2400/137', 'A23V2400/231', 'A23L3/015', 'A23B2/10', 'A23V2400/147', 'A23V2400/143', 'A23V2400/125', 'A23V2400/151', 'A23C2260/05', 'A23C9/123', 'A23V2400/169', 'A23V2400/113', 'A23V2400/173', 'A23V2400/115']",2014-10-21,Grant,US,"[{'country_code': 'FR', 'country_name': 'France', 'id': 'grid.573246.1', 'name': 'Sodima SAS', 'types': ['Other']}]",2014.0,2021-02-09,2021,out,,,,,
