Rank,publication_number,application_number,family_id,title,abstract,granted_date,granted_year,publication_date,publication_year,filing_date,year,Expiration date,Expiration year,priority_date,priority_year,Publication type,filing_status,Kind code,jurisdiction,Inventor names,Original assignee names,Current assignee names,GRID IDs,City of Current Assignee,State of Current Assignee,Country of Current Assignee,Funder,Funder Group,Funder Country,UIDs of supporting grants,Grant IDs,Patent citations,Dimensions URL,Fields of Research (ANZSRC 2020),RCDC Categories,HRCS HC Categories,HRCS RAC Categories,Health Research Areas,Broad Research Areas,Cancer Types,CSO Categories,IPCR,cpc,id,scope,pillar,research_category,endproduct,ingredient,subpillar
67,ES-3009492-T3,ES13724707,48483243,CANNED FOOD PRODUCTS HAVING ONE OR MORE FILLINGS,"The invention relates to food products and methods for their preparation. The products comprise a container with a meat emulsion enclosing one or more hydrocolloid dispersions, where the hydrocolloid dispersion(s) and the meat emulsion have different appearances and textures. Preferably, the hydrocolloid dispersions are xanthan gum, carboxymethylcellulose, konjac, guar gum, agar-agar, gum arabic, locust bean gum, cassia, acacia, alginate, carob gum, or a combination thereof. (Automatic translation with Google Translate, no legal value)",2025-03-27,2025,2025-03-27,2025,2013-05-17,2013,2033-05-17,2033,2012-05-21,2012,Grant,Active,T3,ES,WATELAIN ANNIE; KOMAREK DAVID; SISIAK LAURENT; FRISCOURT JULIE; RAYNER JEAN; DECKART MAQUEL; RAYNER MICHAEL,Societe des Produits Nestle SA; Nestle SA,Societe des Produits Nestle SA; Nestle SA,grid.796691.6; grid.419905.0,Vevey,NA,Switzerland,NA,NA,NA,NA,NA,NA,https://app.dimensions.ai/details/patent/ES-3009492-T3,"30 Agricultural, Veterinary and Food Sciences; 30 Agricultural, Veterinary and Food Sciences; 3006 Food Sciences",NA,NA,NA,NA,NA,NA,NA,A23K10/20; A23L13/60; A23K50/40,A23K40/00; B65D77/0426; A23P20/20; A23K10/20; A23K10/00; A23L5/00; A23L13/60; A23K50/40,ES-3009492-T3,out,NA,NA,NA,NA,NA
14,EP-3079770-B2,EP14761640.3,49759130,SYNTHETIC MILK COMPOSITIONS FOR INFANTS LESS THAN THREE MONTHS OLD AND FOR INFANTS AND CHILDREN MORE THAN THREE MONTHS FOR ENSURING OPTIMAL GROWTH AND PREVENTING OBESITY,NA,2025-10-15,2025,2025-10-15,2025,2014-09-09,2014,2034-09-09,2034,2013-12-12,2013,Grant,Active,B2,EP,DE CASTRO CARLOS ANTONIO; CRUZ-HERNANDEZ CRISTINA; DESTAILLATS FREDERIC; GIUFFRIDA FRANCESCA; THAKKAR SAGAR; MUKHERJEE RAJAT,Societe des Produits Nestle SA; Nestle SA,Societe des Produits Nestle SA,grid.796691.6; grid.419905.0,Vevey,NA,Switzerland,NA,NA,NA,NA,NA,NA,https://app.dimensions.ai/details/patent/EP-3079770-B2,32 Biomedical and Clinical Sciences; 32 Biomedical and Clinical Sciences; 3213 Paediatrics,"Breastfeeding, Lactation and Breast Milk; Nutrition; Obesity; Pediatric Research Initiative; Prevention",NA,NA,Clinical,Clinical Medicine and Science,NA,NA,A23L33/00; A61P3/04; A23L33/10,A23V2002/00; A23L33/115; A23L33/12; A61P3/04; A23L33/30; A23L33/17; A23L33/40,EP-3079770-B2,out,NA,NA,NA,NA,NA
9,ES-3047682-T3,ES22182018,49883006,"PALATABILITY ENHANCERS FOR PET FOOD, METHOD OF PREPARATION AND USES THEREOF","The present invention relates to a composition that improves the palatability of dog food, comprising at least one compound selected from the group consisting of: ascorbic acid; isomers thereof; derivatives thereof; salts thereof; and combinations thereof; and at least one liquid component.",2025-12-04,2025,2025-12-04,2025,2014-01-27,2014,2034-01-27,2034,2013-12-18,2013,Grant,Active,T3,ES,AUBRIL DELPHINE; CALLEJON LAURENCE,Specialites Pet Food SAS,Specialites Pet Food SAS,grid.604002.0,NA,NA,France,NA,NA,NA,NA,NA,NA,https://app.dimensions.ai/details/patent/ES-3047682-T3,"30 Agricultural, Veterinary and Food Sciences; 3006 Food Sciences; 34 Chemical Sciences",NA,NA,NA,NA,NA,NA,NA,A23K20/174; A23K50/40; A23K40/30,A23K20/174; A23K40/30; A23K50/40,ES-3047682-T3,out,NA,NA,NA,NA,NA
8,EP-3183038-B1,EP15753921.4,51355482,EXTRACTS OF NANNOCHLOROPSIS SP. AND THEIR APPLICATIONS,NA,2025-04-02,2025,2025-04-02,2025,2015-08-08,2015,2035-08-08,2035,2014-08-19,2014,Grant,Active,B1,EP,ZANELLA LORENZO; PERTILE PAOLO,Symrise AG,Symrise AG,grid.480394.2,Holzminden,NA,Germany,NA,NA,NA,NA,NA,NA,https://app.dimensions.ai/details/patent/EP-3183038-B1,NA,NA,NA,NA,NA,NA,NA,NA,A61K8/9722; A61P17/08; A61K8/97; A61Q5/10; A61Q19/00; A61Q7/00; A61P17/10; A61Q5/00; A61P17/00; A61P17/14; A61Q19/02,A61Q5/006; A61K36/05; A61K8/9706; A61Q19/008; A61Q19/02; A61P17/14; A61P17/08; A61K2236/37; A61K2236/331; A61P17/10; A61P17/00; A61K8/9794; A61K8/9771; A61Q5/008; A61K8/9722; A61K2236/33; A61Q7/00; A61K8/9789; A61Q5/10; A61K8/9767; A61Q19/00,EP-3183038-B1,out,NA,NA,NA,NA,NA
11,ES-2885851-T5,ES15770922,51655583,NUTRITIONAL COMPOSITION FOR USE IN PROMOTING LIVER MATURATION,NA,2025-01-23,2025,2025-01-23,2025,2015-09-29,2015,2035-09-29,2035,2014-09-30,2014,Grant,Active,T5,ES,THAKKAR SAGAR; GARCIA-RODENAS CLARA LUCIA; NAGY KORNÉL; LE KIM-ANNE; WOOSTER TIMOTHY JAMES,Societe des Produits Nestle SA; Nestle SA,Societe des Produits Nestle SA; Nestle SA,grid.796691.6; grid.419905.0,Vevey,NA,Switzerland,NA,NA,NA,NA,NA,NA,https://app.dimensions.ai/details/patent/ES-2885851-T5,NA,NA,NA,NA,NA,NA,NA,NA,A23L33/00; A23L33/12; A23L33/115,A23L33/40; A23L33/12; A23L33/30; A23V2002/00; A23L33/115,ES-2885851-T5,out,NA,NA,NA,NA,NA
14,US-12256755-B2,US15517418,51743286,Process for preparing a fat slurry and for preparing a spread with said slurry,"Process for preparing an edible fat slurry comprising 60-98% by weight (on the total slurry of oil and fat powder) of an edible oil phase and 2-40% by weight (on the total slurry of oil and fat powder) of fat powder, wherein the fat powder is sprayed directly a mixing vessel to be combined with oil.",2025-03-25,2025,2025-03-25,2025,2015-10-09,2015,2038-03-01,2038,2014-10-13,2014,Grant,Active,B2,US,BEZEMER ALBERT JAN; JANSSEN JOHANNES JOZEF MARIE; STEVENS MARCEL,Flora Food Global Principal BV,Flora Food Global Principal BV,grid.612532.1,NA,NA,Netherlands,NA,NA,NA,NA,NA,NA,https://app.dimensions.ai/details/patent/US-12256755-B2,"30 Agricultural, Veterinary and Food Sciences; 40 Engineering; 40 Engineering; 4004 Chemical Engineering",Nutrition,NA,NA,NA,NA,NA,NA,C11B15/00; A23D9/04; A23D9/007; A23L9/20; A23D9/00; A23D9/05; A23L27/60; A23D7/005; A23L33/115; A23D7/04; A23D7/00; A21D2/16,A23D9/00; A23D7/0056; A23D7/001; A23D7/04; A23L27/60; A23L33/115; A23D9/04; A23V2002/00; A23L9/24; A21D2/16; C11B15/00; A23D9/05; A23D9/007,US-12256755-B2,out,NA,NA,NA,NA,NA
21,ES-3022633-T3,ES14812291,52101355,METHOD OF FORMING A CAVITATED FERMENTED DAIRY PRODUCT,"Cavitated fermented dairy products with a protein content of at least 5% by weight are described, as well as methods for their formation by passing a fermented dairy product through a cavitator. Preferred dairy products are yogurt or Greek yogurt. (Automatic translation with Google Translate, no legal value)",2025-05-28,2025,2025-05-28,2025,2014-10-21,2014,2034-10-21,2034,2014-10-21,2014,Grant,Active,T3,ES,MIMOUNI ARNAUD; ROMERO JAVIER; DEMONTE PHILIPPE,Sodima SAS,Sodima SAS,grid.573246.1,NA,NA,France,NA,NA,NA,NA,NA,NA,https://app.dimensions.ai/details/patent/ES-3022633-T3,"30 Agricultural, Veterinary and Food Sciences; 30 Agricultural, Veterinary and Food Sciences; 3006 Food Sciences",NA,NA,NA,NA,NA,NA,NA,A23C9/123; A23C9/12,A23V2400/125; A23C2260/05; A23B2/103; A23V2400/143; A23V2400/113; A23V2400/321; A23V2400/115; A23V2400/51; A23V2400/137; A23B2/10; A23V2400/151; A23V2400/249; A23V2400/175; A23V2400/169; A23C9/123; A23V2400/173; A23V2400/147; A23V2400/231; A23V2002/00,ES-3022633-T3,out,NA,NA,NA,NA,NA
22,EP-3209136-B1,EP14812291.4,52101355,METHOD OF FORMING A CAVITATED FERMENTED DAIRY PRODUCT,NA,2025-03-19,2025,2025-03-19,2025,2014-10-21,2014,2034-10-21,2034,2014-10-21,2014,Grant,Active,B1,EP,MIMOUNI ARNAUD; ROMERO JAVIER; DEMONTE PHILIPPE,Sodima SAS,Sodima SAS,grid.573246.1,NA,NA,France,NA,NA,NA,NA,NA,NA,https://app.dimensions.ai/details/patent/EP-3209136-B1,NA,NA,NA,NA,NA,NA,NA,NA,A23C9/123; A23C9/12,A23V2400/147; A23V2400/137; A23V2400/175; A23V2400/115; A23V2400/169; A23B2/10; A23V2400/113; A23V2400/143; A23C2260/05; A23V2400/231; A23C9/123; A23V2002/00; A23V2400/51; A23B2/103; A23V2400/249; A23V2400/125; A23V2400/321; A23V2400/151; A23V2400/173,EP-3209136-B1,out,NA,NA,NA,NA,NA
560,EP-4424172-A3,EP24182765.8,52462090,A PROTEINACEOUS MEAT ANALOGUE HAVING AN IMPROVED TEXTURE AND AN EXTENDED SHELF-LIFE,"The invention concerns an extended shelf-life proteinaceous meat analogue comprising vegetable proteins among which at least wheat gluten and a plasticizer said proteinaceous meat analogue having a water content of less than 20% (w/w) and a torque value at 10mn of at least 10 gram meter (g*m), as determined by a Test A. The invention is further about a method for obtaining an extended shelf-life proteinaceous meat analogue comprising the step of (i) mixing vegetable proteins among which at least vital wheat gluten and a plasticizer for obtaining a dough, (ii) heating said dough, wherein said extended shelf-life proteinaceous meat analogue has a water content of less than 20% (w/w). The invention also concerns a foodstuff comprising said extended shelf-life proteinaceous meat analogue and the method for obtaining said foodstuff.",NA,NA,2025-03-05,2025,2015-09-07,2015,NA,NA,2014-09-05,2014,Application,Pending,A3,EP,REDL ANDREAS; FENEUIL AURÉLIEN; VOGEL FABRICE,Tereos Starch and Sweeteners Belgium,Tereos Starch and Sweeteners Belgium,grid.670633.7,NA,NA,Belgium,NA,NA,NA,NA,NA,NA,https://app.dimensions.ai/details/patent/EP-4424172-A3,"30 Agricultural, Veterinary and Food Sciences; 30 Agricultural, Veterinary and Food Sciences; 3006 Food Sciences",NA,NA,NA,NA,NA,NA,NA,A23J3/18; A23J3/22,A23V2250/5486; A23J3/227; A23V2002/00; A23L29/00; A23V2200/20; A23V2200/262; A23J3/18; A23J3/22,EP-4424172-A3,in,PB,End product formulation,Meat,NA,NA
8,CN-106998703-B,CN201580068107.2,52589630,Low fat fried products and method of producing the same,"The present invention relates to a fried product. More particularly, the invention relates to a fried product obtained from a composition comprising flour, yeast, microalgae powder and drinkable liquid and having a low fat content relative to the standard composition of said fried product. The invention also relates to a method for producing said fried product.",2025-09-16,2025,2025-09-16,2025,2015-12-17,2015,2035-12-17,2035,2014-12-18,2014,Grant,Active,B,CN,Thomas Bulsie; Mary Delebarre; Anna Sophie Welkrus,Roquette Freres SA; Corbyn Biotechnology Co ltd,Corbyn Biotechnology Co ltd,grid.437453.2,Lestrem,NA,France; United States,NA,NA,NA,NA,NA,NA,https://app.dimensions.ai/details/patent/CN-106998703-B,"30 Agricultural, Veterinary and Food Sciences; 30 Agricultural, Veterinary and Food Sciences; 3006 Food Sciences",NA,NA,NA,NA,NA,NA,NA,A21D13/062; C12N1/12; A21D2/18; A21D13/60; A21D2/26,A21D13/066; A23V2002/00; A21D2/267; A23L29/065; A23L29/20; A23L29/256; A21D13/60; A21D2/08; C12N1/12; A23L5/11; A23L17/60; A21D13/062; A21D2/181,CN-106998703-B,out,NA,NA,NA,NA,NA
11,EP-4627930-A2,EP25169128.3,52596486,VARIANTS OF CHYMOSIN WITH IMPROVED MILK-CLOTTING PROPERTIES,Variants of chymosin with improved milk-clotting properties.,NA,NA,2025-10-08,2025,2015-02-26,2015,NA,NA,2014-02-26,2014,Application,Pending,A2,EP,VAN DEN BRINK JOHANNES MAARTEN; JENSEN JESPER LANGHOLM; JACOBSEN JONAS; LUND MARTIN; JEPPESEN IBEN; JAECKEL CHRISTIAN,Chr Hansen AS,Chr Hansen AS,grid.424026.6,Horsholm; Hørsholm,NA,Denmark,NA,NA,NA,NA,NA,NA,https://app.dimensions.ai/details/patent/EP-4627930-A2,49 Mathematical Sciences; 49 Mathematical Sciences; 4901 Applied Mathematics,"Breastfeeding, Lactation and Breast Milk; Hematology; Nutrition",Blood,NA,NA,NA,NA,NA,A23C19/04,A23C19/04; C12N9/6483; A23K20/147; A23C19/041; C12Y304/23004; A23C9/1209,EP-4627930-A2,in,PB,End product formulation,Cheese,NA,NA
