match_key,gt_row_id,lrd_row_id,GT index,LRD index,Similarity,GT Title,LRD Title,GT Dimensions ID,LRD Identification code,GT Project start date,LRD Project start date,is_true_match
1751__715,1751,715,252,715,100.0,"Deciphering the functions of alternative proteins produced from
  “non-coding RNAs” in growth and reproduction",Deciphering the functions of alternative proteins produced from “non-coding RNAs” in growth and reproduction,,,2024-02-01,2024-02-01,True
1751__981,1751,981,252,981,100.0,"Deciphering the functions of alternative proteins produced from
  “non-coding RNAs” in growth and reproduction",Deciphering the functions of alternative proteins produced from “non-coding RNAs” in growth and reproduction,,,2024-02-01,2024-02-01,True
1752__716,1752,716,253,716,100.0,"Plant-based diet in older people: what consequences for muscle
  health?",Plant-based diet in older people: what consequences for muscle health?,,,2024-04-01,2024-04-01,True
1740__705,1740,705,242,705,100.0,"Alternative Proteins: A Norm-Challenging Guerrilla Experiment in
  Festival Environment",Alternative Proteins: A Norm-Challenging Guerrilla Experiment in Festival Environment,,,2024-05-27,2024-05-27,True
1741__706,1741,706,243,706,100.0,"Enzymatic engineering and digestion of fibrillar plant protein
  texturizers for the protein shift.",Enzymatic engineering and digestion of fibrillar plant protein texturizers for the protein shift.,,grant.13758676,2024-01-20,2024-01-20,True
1742__707,1742,707,244,707,100.0,"Understanding process-structure-function relationships for oat
  protein and dietary fibre from kernel to model foods (FiPrOats)",Understanding process-structure-function relationships for oat protein and dietary fibre from kernel to model foods (FiPrOats),,,2024-01-01,2024-01-01,True
1744__709,1744,709,245,709,100.0,"MATCHMAKING: Unveiling Optimal Soybean-Rhizobia Matches in
  North-western European Environments",MATCHMAKING: Unveiling Optimal Soybean-Rhizobia Matches in North-western European Environments,,,2024-10-01,2024-10-01,True
1745__710,1745,710,246,710,100.0,"Glyc(oxid)ation during gastrointestinal digestion of meat
  (analogues): formation of advanced glycation endproducts and implications on
  health.",Glyc(oxid)ation during gastrointestinal digestion of meat (analogues): formation of advanced glycation endproducts and implications on health.,,,2025-03-01,2025-03-01,True
1746__711,1746,711,247,711,100.0,"Oxidation and glycation during gastro-intestinal digestion of
  meat (analogues): influence on nutrition and health",Oxidation and glycation during gastro-intestinal digestion of meat (analogues): influence on nutrition and health,,,,,True
1746__977,1746,977,247,977,100.0,"Oxidation and glycation during gastro-intestinal digestion of
  meat (analogues): influence on nutrition and health",Oxidation and glycation during gastro-intestinal digestion of meat (analogues): influence on nutrition and health,,,,2025-02-10,True
1747__712,1747,712,248,712,100.0,"Bovine embryonic stem cell development and myoblast maturation
  approaches as prospective key technological advancements for cultured meat
  development.",Bovine embryonic stem cell development and myoblast maturation approaches as prospective key technological advancements for cultured meat development.,,,,,True
1747__978,1747,978,248,978,100.0,"Bovine embryonic stem cell development and myoblast maturation
  approaches as prospective key technological advancements for cultured meat
  development.",Bovine embryonic stem cell development and myoblast maturation approaches as prospective key technological advancements for cultured meat development.,,,,,True
1749__713,1749,713,250,713,100.0,"SPOC Sustainable Protein and Oil Crops: The potential of protein
  and oil crops for a transformation towards a more sustainable Swiss food
  system",SPOC Sustainable Protein and Oil Crops: The potential of protein and oil crops for a transformation towards a more sustainable Swiss food system,,,2024-01-01,2024-01-01,True
1749__742,1749,742,250,742,100.0,"SPOC Sustainable Protein and Oil Crops: The potential of protein
  and oil crops for a transformation towards a more sustainable Swiss food
  system",SPOC Sustainable Protein and Oil Crops: The potential of protein and oil crops for a transformation towards a more sustainable Swiss food system,,grant.14020564,2024-01-01,2025-04-01,True
1750__714,1750,714,251,714,100.0,"Enzymatic transformations of plant proteins to control the
  production of ingredients with calibrated functionalities",Enzymatic transformations of plant proteins to control the production of ingredients with calibrated functionalities,,,2024-01-01,2024-01-01,True
1750__980,1750,980,251,980,100.0,"Enzymatic transformations of plant proteins to control the
  production of ingredients with calibrated functionalities",Enzymatic transformations of plant proteins to control the production of ingredients with calibrated functionalities,,,2024-01-01,2024-01-01,True
1855__288,1855,288,307,288,100.0,EAGLE: Enhanced Analytical and Genetics Tools for Improving UK Food Legumes,EAGLE: Enhanced Analytical and Genetics Tools for Improving UK Food Legumes,grant.14049012,,2025-01-22,2022-01-01,True
1855__127,1855,127,307,127,100.0,EAGLE: Enhanced Analytical and Genetics Tools for Improving UK Food Legumes,EAGLE: Enhanced Analytical and Genetics Tools for Improving UK Food Legumes,grant.14049012,grant.12930078,2025-01-22,2023-01-01,True
1752__982,1752,982,253,982,100.0,"Plant-based diet in older people: what consequences for muscle
  health?",Plant-based diet in older people: what consequences for muscle health?,,,2024-04-01,2024-04-01,True
1856__139,1856,139,308,139,99.63636363636364,"AgriLoop: Pushing the frontier of circular agriculture by converting residues into novel economic, social and environmental opportunities.","AgriLoop: Pushing the frontier of circular agriculture by converting residues into novel economic, social and environmental opportunities",grant.13509920,,2025-04-23,2022-12-01,True
1856__300,1856,300,308,300,99.63636363636364,"AgriLoop: Pushing the frontier of circular agriculture by converting residues into novel economic, social and environmental opportunities.","AgriLoop: Pushing the frontier of circular agriculture by converting residues into novel economic, social and environmental opportunities",grant.13509920,,2025-04-23,2022-12-01,True
1856__35,1856,35,308,35,99.63636363636364,"AgriLoop: Pushing the frontier of circular agriculture by converting residues into novel economic, social and environmental opportunities.","AgriLoop: Pushing the frontier of circular agriculture by converting residues into novel economic, social and environmental opportunities",grant.13509920,,2025-04-23,2022-12-01,True
1857__238,1857,238,309,238,98.2078853046595,Plant breeding research P3 joint project: 'Rapeseed as a domestic source of high-quality protein for human nutrition (RaPEQ3) Subproject A,Plant breeding research P3 joint project: 'Rapeseed as a domestic source of high-quality protein for human nutrition (RaPEQ3) - subproject D',grant.13246253,,2025-10-20,2023-01-04,True
1857__244,1857,244,309,244,98.2078853046595,Plant breeding research P3 joint project: 'Rapeseed as a domestic source of high-quality protein for human nutrition (RaPEQ3) Subproject A,Plant breeding research P3 joint project: 'Rapeseed as a domestic source of high-quality protein for human nutrition (RaPEQ3) - subproject C',grant.13246253,,2025-10-20,2023-01-04,True
1857__193,1857,193,309,193,98.2078853046595,Plant breeding research P3 joint project: 'Rapeseed as a domestic source of high-quality protein for human nutrition (RaPEQ3) Subproject A,Plant breeding research P3 joint project: 'Rapeseed as a domestic source of high-quality protein for human nutrition (RaPEQ3) - subproject B',grant.13246253,,2025-10-20,2023-01-04,True
1859__448,1859,448,311,448,97.26775956284153,Innovation space: NewFoodSystems - Sustainable protein ingredients - implementation phase SP D,Innovation space: NewFoodSystems - Sustainable protein ingredients - implementation phase,grant.9462935,,,2020-10-01,True
1859__463,1859,463,311,463,97.26775956284153,Innovation space: NewFoodSystems - Sustainable protein ingredients - implementation phase SP D,Innovation space: NewFoodSystems - Sustainable protein ingredients - implementation phase,grant.9462935,,,2020-10-01,True
1859__451,1859,451,311,451,97.26775956284153,Innovation space: NewFoodSystems - Sustainable protein ingredients - implementation phase SP D,Innovation space: NewFoodSystems - Sustainable protein ingredients - implementation phase,grant.9462935,,,2020-10-01,True
1858__220,1858,220,310,220,97.26775956284153,Innovation space: NewFoodSystems - Sustainable protein ingredients - implementation phase TP H,Innovation space: NewFoodSystems - Sustainable protein ingredients - implementation phase,grant.9462939,,2025-10-20,2020-10-01,True
1858__262,1858,262,310,262,97.26775956284153,Innovation space: NewFoodSystems - Sustainable protein ingredients - implementation phase TP H,Innovation space: NewFoodSystems - Sustainable protein ingredients - implementation phase,grant.9462939,,2025-10-20,2021-11-01,True
1858__271,1858,271,310,271,97.26775956284153,Innovation space: NewFoodSystems - Sustainable protein ingredients - implementation phase TP H,Innovation space: NewFoodSystems - Sustainable protein ingredients - implementation phase,grant.9462939,,2025-10-20,2020-10-01,True
1858__117,1858,117,310,117,97.26775956284153,Innovation space: NewFoodSystems - Sustainable protein ingredients - implementation phase TP H,Innovation space: NewFoodSystems - Sustainable protein ingredients - implementation phase,grant.9462939,,2025-10-20,2020-10-01,True
1859__486,1859,486,311,486,97.26775956284153,Innovation space: NewFoodSystems - Sustainable protein ingredients - implementation phase SP D,Innovation space: NewFoodSystems - Sustainable protein ingredients - implementation phase,grant.9462935,,,2020-10-01,True
1859__477,1859,477,311,477,97.26775956284153,Innovation space: NewFoodSystems - Sustainable protein ingredients - implementation phase SP D,Innovation space: NewFoodSystems - Sustainable protein ingredients - implementation phase,grant.9462935,,,2020-10-01,True
1859__424,1859,424,311,424,97.26775956284153,Innovation space: NewFoodSystems - Sustainable protein ingredients - implementation phase SP D,Innovation space: NewFoodSystems - Sustainable protein ingredients - implementation phase,grant.9462935,,,2020-10-01,True
1859__271,1859,271,311,271,97.26775956284153,Innovation space: NewFoodSystems - Sustainable protein ingredients - implementation phase SP D,Innovation space: NewFoodSystems - Sustainable protein ingredients - implementation phase,grant.9462935,,,2020-10-01,True
1858__294,1858,294,310,294,97.26775956284153,Innovation space: NewFoodSystems - Sustainable protein ingredients - implementation phase TP H,Innovation space: NewFoodSystems - Sustainable protein ingredients - implementation phase,grant.9462939,,2025-10-20,2021-04-01,True
1858__425,1858,425,310,425,97.26775956284153,Innovation space: NewFoodSystems - Sustainable protein ingredients - implementation phase TP H,Innovation space: NewFoodSystems - Sustainable protein ingredients - implementation phase,grant.9462939,,2025-10-20,2020-10-01,True
1858__424,1858,424,310,424,97.26775956284153,Innovation space: NewFoodSystems - Sustainable protein ingredients - implementation phase TP H,Innovation space: NewFoodSystems - Sustainable protein ingredients - implementation phase,grant.9462939,,2025-10-20,2020-10-01,True
1858__422,1858,422,310,422,97.26775956284153,Innovation space: NewFoodSystems - Sustainable protein ingredients - implementation phase TP H,Innovation space: NewFoodSystems - Sustainable protein ingredients - implementation phase,grant.9462939,,2025-10-20,2020-10-01,True
1858__451,1858,451,310,451,97.26775956284153,Innovation space: NewFoodSystems - Sustainable protein ingredients - implementation phase TP H,Innovation space: NewFoodSystems - Sustainable protein ingredients - implementation phase,grant.9462939,,2025-10-20,2020-10-01,True
1858__463,1858,463,310,463,97.26775956284153,Innovation space: NewFoodSystems - Sustainable protein ingredients - implementation phase TP H,Innovation space: NewFoodSystems - Sustainable protein ingredients - implementation phase,grant.9462939,,2025-10-20,2020-10-01,True
1858__477,1858,477,310,477,97.26775956284153,Innovation space: NewFoodSystems - Sustainable protein ingredients - implementation phase TP H,Innovation space: NewFoodSystems - Sustainable protein ingredients - implementation phase,grant.9462939,,2025-10-20,2020-10-01,True
1858__448,1858,448,310,448,97.26775956284153,Innovation space: NewFoodSystems - Sustainable protein ingredients - implementation phase TP H,Innovation space: NewFoodSystems - Sustainable protein ingredients - implementation phase,grant.9462939,,2025-10-20,2020-10-01,True
1858__486,1858,486,310,486,97.26775956284153,Innovation space: NewFoodSystems - Sustainable protein ingredients - implementation phase TP H,Innovation space: NewFoodSystems - Sustainable protein ingredients - implementation phase,grant.9462939,,2025-10-20,2020-10-01,True
1859__262,1859,262,311,262,97.26775956284153,Innovation space: NewFoodSystems - Sustainable protein ingredients - implementation phase SP D,Innovation space: NewFoodSystems - Sustainable protein ingredients - implementation phase,grant.9462935,,,2021-11-01,True
1859__220,1859,220,311,220,97.26775956284153,Innovation space: NewFoodSystems - Sustainable protein ingredients - implementation phase SP D,Innovation space: NewFoodSystems - Sustainable protein ingredients - implementation phase,grant.9462935,,,2020-10-01,True
1859__117,1859,117,311,117,97.26775956284153,Innovation space: NewFoodSystems - Sustainable protein ingredients - implementation phase SP D,Innovation space: NewFoodSystems - Sustainable protein ingredients - implementation phase,grant.9462935,,,2020-10-01,True
1859__294,1859,294,311,294,97.26775956284153,Innovation space: NewFoodSystems - Sustainable protein ingredients - implementation phase SP D,Innovation space: NewFoodSystems - Sustainable protein ingredients - implementation phase,grant.9462935,,,2021-04-01,True
1859__422,1859,422,311,422,97.26775956284153,Innovation space: NewFoodSystems - Sustainable protein ingredients - implementation phase SP D,Innovation space: NewFoodSystems - Sustainable protein ingredients - implementation phase,grant.9462935,,,2020-10-01,True
1859__425,1859,425,311,425,97.26775956284153,Innovation space: NewFoodSystems - Sustainable protein ingredients - implementation phase SP D,Innovation space: NewFoodSystems - Sustainable protein ingredients - implementation phase,grant.9462935,,,2020-10-01,True
1920__1043,1920,1043,345,1043,96.52777777777779,"Information on the cultivation, benefits and utilisation of non-leguminous protein plants and fungi for human nutrition in northern Germany","CPHNord - Information on the cultivation, benefits and utilisation of non-leguminous protein plants and fungi for human nutrition in northern Germany",2824CPH019,,2025-10-01,2025-10-01,True
1857__275,1857,275,309,275,95.40636042402826,Plant breeding research P3 joint project: 'Rapeseed as a domestic source of high-quality protein for human nutrition (RaPEQ3) Subproject A,"Plant breeding research P2 joint project: 'Rapeseed as a domestic source of high-quality protein for human nutrition (RaPEQ - P2)', sub-project A",grant.13246253,,2025-10-20,2020-01-02,True
1857__277,1857,277,309,277,94.69964664310953,Plant breeding research P3 joint project: 'Rapeseed as a domestic source of high-quality protein for human nutrition (RaPEQ3) Subproject A,"Plant breeding research P2 joint project: 'Rapeseed as a domestic source of high-quality protein for human nutrition (RaPEQ - P2)', sub-project C",grant.13246253,,2025-10-20,2020-01-02,True
1857__272,1857,272,309,272,94.69964664310953,Plant breeding research P3 joint project: 'Rapeseed as a domestic source of high-quality protein for human nutrition (RaPEQ3) Subproject A,"Plant breeding research P2 joint project: 'Rapeseed as a domestic source of high-quality protein for human nutrition (RaPEQ - P2)', sub-project D",grant.13246253,,2025-10-20,2020-01-02,True
1857__276,1857,276,309,276,94.69964664310953,Plant breeding research P3 joint project: 'Rapeseed as a domestic source of high-quality protein for human nutrition (RaPEQ3) Subproject A,"Plant breeding research P2 joint project: 'Rapeseed as a domestic source of high-quality protein for human nutrition (RaPEQ - P2)', sub-project B",grant.13246253,,2025-10-20,2020-01-02,True
1865__1003,1865,1003,314,1003,94.44444444444444,Characterization of the textural properties of meat and meat analogues using oral processing,Characterization of textural properties of meat and meat analogs through oral processing,,,,,True
1534__760,1534,760,158,760,93.56725146198829,Engineering safe faba beans by targeting the anti-nutrients vicine and convicine,CleanBean: Engineering safe faba beans by targeting the anti-nutrients vicine and convicine,grant.13984174,grant.13909180,,2024-01-01,True
1792__1008,1792,1008,274,1008,93.33333333333333,"Alternative Proteins Research and
  Innovation Skills Enhancement",APRISE -  Alternative Proteins Research and Innovation Skills Enhancement,grant.14955183,,2025-09-01,,True
1534__680,1534,680,158,680,93.02325581395348,Engineering safe faba beans by targeting the anti-nutrients vicine and convicine,Engineering safe faba beans by targeting the anti-nutrients vicine and convicine (CleanBean),grant.13984174,"grant.13984174, grant.13909180",,2024-11-01,True
1779__671,1779,671,264,671,90.65743944636678,"Harnessing the immense potential of
  precision fermentation to produce animal fats for the next generation ofmeat
  and dairy alternatives",Harnessing the immense potential of precision fermentation to produce animal fats for the next generation of meat and dairy alternatives (Melt and Marble),grant.14917504,grant.14613568,2025-01-01,2025-01-01,True
1857__882,1857,882,309,882,90.0,Plant breeding research P3 joint project: 'Rapeseed as a domestic source of high-quality protein for human nutrition (RaPEQ3) Subproject A,"Plant Breeding Research P2 joint project: 'Rapeseed as a native source of high-quality protein for human nutrition (RaPEQ - P2)', subproject F",grant.13246253,grant.9063165,2025-10-20,2020-03-01,True
1387__522,1387,522,63,522,87.61904761904762,Ecologically sustainable food for the elderly with obesity,Ecologically sustainable food for obese elderly,grant.12908252,grant.9549928,2022-09-01,2022-02-01,True
1866__892,1866,892,315,892,86.75799086757992,Improving the functionality of plant proteins through glycation using carbohydrates from by-products (ProtbyProd) – CORNET –,Improving the functionality of plant proteins by glycation using carbohydrates from by-products,,grant.14045083,,2024-04-01,True
